Name,Innings,Not_outs,Highest_score,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,2022_Team,2023_Team,Country
Shubman Gill,17,2,129,564,157.8,3,4,1,85,33,Gujarat Titans,Gujarat Titans,India
Faf du Plessis,14,1,84,475,153.68,0,8,0,60,36,Royal Challengers Bangalore,Royal Challengers Bangalore,South Africa
Devon Conway,15,2,92*,481,139.7,0,6,1,77,18,Chennai Super Kings,Chennai Super Kings,New Zealand
Virat Kohli,14,2,101*,457,139.82,2,6,1,65,16,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Yashasvi Jaiswal,14,1,124,382,163.61,1,5,1,82,26,Rajasthan Royals,Rajasthan Royals,India
Suryakumar Yadav,16,2,103*,334,181.13,1,5,1,65,28,Mumbai Indians,Mumbai Indians,India
Ruturaj Gaikwad,15,1,92,400,147.5,0,4,0,46,30,Chennai Super Kings,Chennai Super Kings,India
David Warner,14,0,86,392,131.63,0,6,2,69,10,Delhi Capitals,Delhi Capitals,Australia
Rinku Singh,14,6,67*,317,149.52,0,4,0,31,29,Kolkata Knight Riders,Kolkata Knight Riders,India
Ishan Kishan,15,0,75,318,142.76,0,3,0,54,18,Mumbai Indians,Mumbai Indians,India
Cameron Green,16,7,100*,282,160.28,1,2,0,40,22,Not in IPL,Mumbai Indians,Australia
Heinrich Klaasen,11,2,104,253,177.07,1,2,0,32,25,Not in IPL,Sunrisers Hyderabad,South Africa
Shivam Dube,14,3,52,264,158.33,0,3,0,12,35,Chennai Super Kings,Chennai Super Kings,India
Nitish Rana,14,1,75,293,140.95,0,3,0,39,20,Kolkata Knight Riders,Kolkata Knight Riders,India
Marcus Stoinis,15,2,89*,272,150,0,3,2,28,27,Lucknow Super Giants,Lucknow Super Giants,Australia
Venkatesh Iyer,14,0,104,277,145.84,1,2,1,32,21,Kolkata Knight Riders,Kolkata Knight Riders,India
Glenn Maxwell,14,2,77,218,183.48,0,5,2,29,31,Royal Challengers Bangalore,Royal Challengers Bangalore,Australia
Jos Buttler,14,0,95,282,139,0,4,5,42,14,Rajasthan Royals,Rajasthan Royals,England
Kyle Mayers,13,0,73,263,144.1,0,4,2,38,22,Not in IPL,Lucknow Super Giants,West Indies
Shikhar Dhawan,11,2,99*,261,142.91,0,3,1,49,12,Punjab Kings,Punjab Kings,India
Wriddhiman Saha,17,1,81,287,129.26,0,2,2,47,8,Gujarat Titans,Gujarat Titans,India
